Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1992,Elton John,The One,9,1992-06-24
1992,Paula Abdul,Blowing Kisses In The Wind,9,1992-01-01
1992,Richard Marx,Hazard,9,1992-02-12
1992,The Cover Girls,Wishing On A Star,9,1992-05-27
1992,U2,Mysterious Ways,9,1992-01-01
1992,Ugly Kid Joe,Everything About You,9,1992-04-01
1992,George Michael,Too Funky,10,1992-06-10
1992,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are Free,10,1992-05-27
1992,Marky Mark & The Funky Bunch,Wildside,10,1992-01-01
1992,U2,One,10,1992-03-11
1992,Bryan Adams,Do I Have To Say The Words?,11,1992-07-29
1992,Jodeci,Come & Talk To Me,11,1992-04-01
1992,Madonna,Deeper And Deeper,11,1992-12-02
1992,Michael Bolton,To Love Somebody,11,1992-10-14
1992,The KLF Featuring Tammy Wynette,Justified And Ancient,11,1992-01-29
1992,Def Leppard,Have You Ever Needed Someone So Bad,12,1992-08-19
1992,Eric Clapton,Layla,12,1992-09-30
1992,Genesis,Hold On My Heart,12,1992-04-29
1992,Genesis,No Son Of Mine,12,1992-01-01
1992,Karyn White,The Way I Feel About You,12,1992-01-01
1992,Michael Bolton,Missing You Now,12,1992-01-22
1992,Saigon Kick,Love Is On The Way,12,1992-09-02
1992,Bryan Adams,Thought I'd Died And Gone To Heaven,13,1992-03-11
1992,Charles & Eddie,Would I Lie To You?,13,1992-08-19
1992,Jon Secada,Do You Believe In Us,13,1992-09-23
1992,Kris Kross,Warm It Up,13,1992-06-03
1992,Annie Lennox,Walking On Broken Glass,14,1992-09-02
1992,Kathy Troccoli,Everything Changes,14,1992-02-19
1992,CeCe Peniston,Keep On Walkin',15,1992-05-20
1992,Color Me Badd,"Forever Love (From ""Mo' Money"")",15,1992-09-23
1992,Def Leppard,Let's Get Rocked,15,1992-04-08
1992,Restless Heart,When She Cries,15,1992-11-11
1992,Richard Marx,Keep Coming Back,15,1992-01-01
1993,Janet Jackson,Again,1,1993-10-20
1993,Janet Jackson,That's The Way Love Goes,1,1993-04-28
1993,Mariah Carey,Dreamlover,1,1993-08-04
1993,Mariah Carey,Hero,1,1993-10-20
1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1,1993-09-15
1993,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),1,1993-01-06
1993,SWV,Weak,1,1993-04-21
1993,Silk,Freak Me,1,1993-02-17
1993,Snow,Informer,1,1993-01-06
1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",1,1993-05-12
1993,Whitney Houston,I Will Always Love You,1,1993-01-06
1993,Ace of Base,All That She Wants,2,1993-09-15
1993,Dr. Dre,"Nuthin' But A ""G"" Thang",2,1993-01-27
1993,SWV,Right Here (Human Nature)/Downtown,2,1993-07-14
1993,Shai,If I Ever Fall In Love,2,1993-01-06
1993,Tag Team,Whoomp! (There It Is),2,1993-05-26
1993,Wreckx-N-Effect,Rump Shaker,2,1993-01-06
1993,Xscape,Just Kickin' It,2,1993-09-15
1993,Billy Joel,The River Of Dreams,3,1993-07-28
1993,Boyz II Men,"In The Still Of The Nite (From ""The Jacksons"")",3,1993-01-06
1993,Duran Duran,Ordinary World,3,1993-01-06
1993,H-Town,Knockin' Da Boots,3,1993-04-07
1993,The Proclaimers,I'm Gonna Be (500 Miles),3,1993-06-09
1993,Vanessa Williams/Brian McKnight,"""Love Is (From ""Beverly Hills, 90210"")""",3,1993-01-20
1993,Bryan Adams/Rod Stewart/Sting,All For Love,4,1993-11-24
1993,DRS,Gangsta Lean,4,1993-10-13
1993,Jade,Don't Walk Away,4,1993-01-06
1993,Janet Jackson,If,4,1993-07-21
1993,Jodeci,Lately,4,1993-06-09
1993,Onyx,Slam,4,1993-05-26
1993,Salt-N-Pepa,Shoop,4,1993-10-06
1993,Shanice,"""Saving Forever For You (From ""Beverly Hills, 90210"")""",4,1993-01-06
1993,Whitney Houston,I Have Nothing,4,1993-02-24
1993,Whitney Houston,"I'm Every Woman (From ""The Bodyguard"")",4,1993-01-06
1993,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")",5,1993-01-06
1993,Robin S.,Show Me Love,5,1993-03-31
1993,Rod Stewart,Have I Told You Lately,5,1993-04-21
1993,Soul Asylum,Runaway Train,5,1993-06-09
1993,Arrested Development,Mr. Wendal,6,1993-01-06
1993,P.M. Dawn,Looking Through Patient Eyes,6,1993-03-17
1993,SWV,I'm So Into You,6,1993-02-03
1993,Snap!,Rhythm Is A Dancer,6,1993-01-06
1993,Toni Braxton,Breathe Again,6,1993-10-13
1993,Ugly Kid Joe,Cat's In The Cradle,6,1993-02-10
1993,Zhane,Hey Mr. D.J.,6,1993-08-25
1993,Bobby Brown,Good Enough,7,1993-01-06
1993,Bryan Adams,Please Forgive Me,7,1993-10-20
1993,Duran Duran,Come Undone,7,1993-04-14
1993,Madonna,Deeper And Deeper,7,1993-01-06
1993,Michael Jackson,Will You Be There,7,1993-07-14
1993,Prince And The New Power Generation,7,7,1993-01-06
1993,Spin Doctors,Two Princes,7,1993-01-27
1993,Toni Braxton,Another Sad Love Song,7,1993-06-30
1993,Tony! Toni! Tone!,If I Had No Loot,7,1993-06-09
1993,Dr. Dre,Dre Day,8,1993-05-12
1993,Expose,I'll Never Get Over You (Getting Over Me),8,1993-03-24
1993,Inner Circle,"Bad Boys (Theme From ""Cops"")",8,1993-04-28
1993,Naughty by Nature,Hip Hop Hooray,8,1993-01-27
1993,Snoop Dogg,What's My Name?,8,1993-12-01
1993,Michael Bolton,Said I Loved You...But I Lied,9,1993-11-03
1993,TLC,What About Your Friends,9,1993-01-06
1993,Tina Turner,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",9,1993-05-26
1993,Bon Jovi,Bed Of Roses,10,1993-01-20
1993,Mary J. Blige,Real Love,10,1993-01-06
1993,Paperboy,Ditty,10,1993-01-06
1993,Shai,Baby I'm Yours,10,1993-06-02
1993,Shai,Comforter,10,1993-01-20
1993,Tevin Campbell,Can We Talk,10,1993-10-13
1993,Tony! Toni! Tone!,Anniversary,10,1993-09-22
1993,2Pac,I Get Around,11,1993-06-30
1993,95 South,"""Whoot, There It Is""",11,1993-04-28
1993,Haddaway,What Is Love,11,1993-08-25
1993,Portrait,Here We Go Again!,11,1993-01-06
1993,Restless Heart,When She Cries,11,1993-01-06
1993,Aerosmith,Cryin',12,1993-07-28
1993,Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",12,1993-09-08
1993,Duice,Dazzey Duks,12,1993-01-06
1993,Michael Bolton,To Love Somebody,12,1993-01-06
1993,2Pac,Keep Ya Head Up,13,1993-10-27
1993,Brian McKnight,One Last Cry,13,1993-06-09
1993,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,13,1993-08-04
1993,Mad Cobra,Flex,13,1993-01-06
1993,4 Non Blondes,What's Up?,14,1993-04-21
1993,Bobby Brown,Get Away,14,1993-01-13
1993,Go West,Faithful,14,1993-01-06
1993,Jeremy Jordan,"""The Right Kind Of Love (From ""Beverly Hills, 90210"")""",14,1993-01-06
1993,Madonna,Rain,14,1993-07-21
1993,Michael Jackson,Who Is It,14,1993-04-07
